x,Interactive workloads,Short-running workloads A,Long-running continuous workload B1,Long-running continuous workload B2,Long-running interruptible workload C1,Long-running interruptible workload C2,Long-running interruptible workload C3
18.372,9.7552e+05,1.44293e+06,1.86075e+06,1.12316e+06,1.27674e+51,-3.957421e+07,7.3406443e+08
19.283,9.5922e+05,1.43215e+06,1.87637e+06,1.17246e+06,1.788137703613625528e+51,-3.385603e+07,7.0073084e+08
19.378,9.5801e+05,1.42958e+06,1.87745e+06,1.17762e+06,1.848388789683335226e+51,-3.328371e+07,6.9730472e+08
19.599,9.5579e+05,1.42244e+06,1.87897e+06,1.18957e+06,1.99333e+51,-3.197492e+07,6.8940042e+08
20.289,9.5142e+05,1.38964e+06,1.87238e+06,1.2269e+06,2.49416e+51,-2.805926e+07,6.6511289e+08
20.357,9.5102e+05,1.38714e+06,1.87108e+06,1.23057e+06,2.54753e+51,-2.7688e+07,6.6275501e+08
20.452,9.5038e+05,1.38483e+06,1.86926e+06,1.23573e+06,2.623724560137759747e+51,-2.71711e+07,6.5945483e+08
20.903,9.4398e+05,1.38554e+06,1.86172e+06,1.2601e+06,3.00473e+51,-2.479333e+07,6.4399517e+08
20.971,9.4283e+05,1.38622e+06,1.86077e+06,1.26377e+06,3.065054857632350799e+51,-2.444521e+07,6.4169069e+08
21.833,9.3028e+05,1.39355e+06,1.85286e+06,1.31042e+06,3.904327313826203432e+51,-2.023567e+07,6.1285587e+08
22.054,9.28e+05,1.39374e+06,1.85194e+06,1.32236e+06,4.14153e+51,-1.922272e+07,6.0561214e+08
22.275,9.2643e+05,1.39219e+06,1.8512e+06,1.3343e+06,4.38796e+51,-1.823713e+07,5.9843154e+08
23.051,9.2742e+05,1.36915e+06,1.84698e+06,1.37627e+06,5.331813903291795465e+51,-1.498214e+07,5.7363703e+08
23.196,9.2643e+05,1.3632e+06,1.84543e+06,1.38409e+06,5.52127e+51,-1.44122e+07,5.6909842e+08
23.674,9.1502e+05,1.34376e+06,1.83646e+06,1.40997e+06,6.18085e+51,-1.260451e+07,5.5423589e+08
24.116,9.0183e+05,1.32822e+06,1.81953e+06,1.43383e+06,6.83387e+51,-1.104615e+07,5.4076316e+08
24.431,8.9384e+05,1.31996e+06,1.80315e+06,1.45088e+06,7.32744624345134931e+51,-9.99628e+06,5.3127587e+08
24.978,8.8088e+05,1.31387e+06,1.77907e+06,1.48041e+06,8.23783e+51,-8.30055e+06,5.1510499e+08
25.266,8.7314e+05,1.31334e+06,1.77343e+06,1.496e+06,8.74781e+51,-7.46704e+06,5.0669797e+08
25.812,8.5514e+05,1.31176e+06,1.7696e+06,1.5255e+06,9.76923e+51,-6.00592e+06,4.9104883e+08
26.11,8.4854e+05,1.30925e+06,1.76808e+06,1.54158e+06,1.0358e+52,-5.27211e+06,4.8265828e+08
26.666,8.5236e+05,1.30224e+06,1.76268e+06,1.57159e+06,1.15197e+52,-4.01721e+06,4.6725225e+08
27.031,8.5674e+05,1.29659e+06,1.75656e+06,1.59132e+06,1.23291e+52,-3.27165e+06,4.5730353e+08
27.577,8.6037e+05,1.28716e+06,1.74464e+06,1.6208e+06,1.36075e+52,-2.27162e+06,4.4270872e+08
28.566,8.6494e+05,1.27084e+06,1.71669e+06,1.67419e+06,1.61436e+52,-7.8836e+05,4.1706957e+08
28.66,8.655e+05,1.26977e+06,1.71348e+06,1.67926e+06,1.63995e+52,-6.6843e+05,4.146895e+08
29.034,8.6816e+05,1.26667e+06,1.70115e+06,1.69948e+06,1.74477e+52,-2.2381e+05,4.0528145e+08
29.043,8.6823e+05,1.26661e+06,1.70119e+06,1.69995e+06,1.74727e+52,-2.1404e+05,4.0506285e+08
29.717,8.7314e+05,1.26444e+06,1.69965e+06,1.73632e+06,1.9470709622317964e+52,4.534e+05,3.8851091e+08
30.041,8.7374e+05,1.26438e+06,1.69299e+06,1.75377e+06,2.04816e+52,7.1834e+05,3.8073011e+08
30.178,8.7724e+05,1.26453e+06,1.68704e+06,1.76116e+06,2.092008488316948092e+52,8.2037e+05,3.7746698e+08
30.577,8.9129e+05,1.26575e+06,1.66839e+06,1.78272e+06,2.22348042437364502e+52,1.08525e+06,3.6805572e+08
30.723,8.9586e+05,1.26667e+06,1.69273e+06,1.79056e+06,2.272630787267817126e+52,1.17003e+06,3.6467244e+08
31.116,9.0503e+05,1.27961e+06,1.74218e+06,1.81177e+06,2.409230367130400257e+52,1.37059e+06,3.5562413e+08
31.176,9.0593e+05,1.28272e+06,1.74603e+06,1.815e+06,2.43049e+52,1.39759e+06,3.5426062e+08
31.183,9.0604e+05,1.28306e+06,1.74648e+06,1.81541e+06,2.4332e+52,1.40096e+06,3.5408736e+08
32.182,9.1389e+05,1.31996e+06,1.77606e+06,1.86924e+06,2.80668e+52,1.72976e+06,3.3186873e+08
32.327,9.1823e+05,1.32727e+06,1.77915e+06,1.87708e+06,2.864060112593576394e+52,1.76108e+06,3.2871438e+08
32.498,9.3016e+05,1.33726e+06,1.78317e+06,1.88629e+06,2.932526516998477133e+52,1.79338e+06,3.2503099e+08
32.789,9.6742e+05,1.35602e+06,1.79168e+06,1.90195e+06,3.05136e+52,1.83797e+06,3.1883611e+08
32.95,9.7382e+05,1.36505e+06,1.79739e+06,1.91065e+06,3.11879e+52,1.85772e+06,3.1542658e+08
33.633,9.7562e+05,1.39055e+06,1.82774e+06,1.94744e+06,3.41487e+52,1.90941e+06,3.012851e+08
33.727,9.7593e+05,1.39482e+06,1.83236e+06,1.95251e+06,3.45706e+52,1.91336e+06,2.9937168e+08
33.872,9.7666e+05,1.40194e+06,1.83947e+06,1.96031e+06,3.5227e+52,1.91834e+06,2.9644188e+08
34.573,9.8378e+05,1.44203e+06,1.86987e+06,1.99808e+06,3.8524e+52,1.93074e+06,2.8252479e+08
35.014,9.9202e+05,1.46873e+06,1.883e+06,2.02185e+06,4.070143798615012781e+52,1.93688e+06,2.7399535e+08
35.485,1.00874e+06,1.49622e+06,1.89142e+06,2.04719e+06,4.31113e+52,1.95084e+06,2.6509712e+08
35.494,1.00915e+06,1.49673e+06,1.89153e+06,2.04768e+06,4.315926935090836205e+52,1.95124e+06,2.6492536e+08
35.859,1.02481e+06,1.51434e+06,1.89451e+06,2.06733e+06,4.509379778753143487e+52,1.97141e+06,2.581639e+08
36.406,1.0415e+06,1.52492e+06,1.89432e+06,2.09678e+06,4.81015e+52,2.01194e+06,2.482466e+08
36.416,1.04176e+06,1.52497e+06,1.89428e+06,2.09731e+06,4.81568e+52,2.01273e+06,2.480705e+08
37.088,1.05761e+06,1.53102e+06,1.88796e+06,2.13342e+06,5.20284e+52,2.06046e+06,2.3626786e+08
37.338,1.06272e+06,1.53826e+06,1.88425e+06,2.14691e+06,5.35255e+52,2.07012e+06,2.3196094e+08
37.404,1.06399e+06,1.54132e+06,1.88317e+06,2.15046e+06,5.39248e+52,2.07145e+06,2.3083485e+08
38.086,1.074e+06,1.59381e+06,1.86974e+06,2.18709e+06,5.81583837833422488e+52,2.07217e+06,2.1943872e+08
38.182,1.07487e+06,1.59966e+06,1.86753e+06,2.1923e+06,5.87782655527968863e+52,2.07422e+06,2.1784884e+08
38.403,1.07695e+06,1.611e+06,1.86225e+06,2.20417e+06,6.0207e+52,2.08858e+06,2.1425579e+08
38.798,1.08537e+06,1.62694e+06,1.85203e+06,2.22536e+06,6.28154e+52,2.13981e+06,2.0794083e+08
38.93,1.0904e+06,1.63167e+06,1.8484e+06,2.23247e+06,6.3707e+52,2.1571e+06,2.0585134e+08
39.644,1.12906e+06,1.65512e+06,1.82722e+06,2.27081e+06,6.86631e+52,2.23409e+06,1.9482411e+08
40.005,1.14779e+06,1.66691e+06,1.81559e+06,2.29024e+06,7.12704e+52,2.25161e+06,1.8939222e+08
40.258,1.1582e+06,1.6758e+06,1.80715e+06,2.3038e+06,7.31299e+52,2.25868e+06,1.8566058e+08
40.477,1.16597e+06,1.68479e+06,1.79965e+06,2.31554e+06,7.47649e+52,2.26883e+06,1.8247229e+08
41.015,1.18572e+06,1.73808e+06,1.78049e+06,2.34442e+06,7.88936147725869683e+52,2.31018e+06,1.7478286e+08
41.081,1.18878e+06,1.74205e+06,1.77809e+06,2.34795e+06,7.94073213516019572e+52,2.31746e+06,1.7386048e+08
41.103,1.18991e+06,1.7433e+06,1.77725e+06,2.34917e+06,7.95866e+52,2.32017e+06,1.7354024e+08
41.719,1.22742e+06,1.76957e+06,1.75408e+06,2.3822e+06,8.45206161579439562e+52,2.40626e+06,1.6506237e+08
42.002,1.24207e+06,1.78079e+06,1.74307e+06,2.3974e+06,8.68591605971810794e+52,2.41247e+06,1.612564e+08
42.321,1.25335e+06,1.79547e+06,1.73047e+06,2.41445e+06,8.95348035368135113e+52,2.41399e+06,1.5705691e+08
42.333,1.25371e+06,1.79618e+06,1.72997e+06,2.41512e+06,8.9641e+52,2.41446e+06,1.5689345e+08
42.859,1.26573e+06,1.84466e+06,1.70863e+06,2.44329e+06,9.4185164490333676e+52,2.46258e+06,1.5012482e+08
42.948,1.26733e+06,1.84931e+06,1.70494e+06,2.44808e+06,9.49729830246286722e+52,2.47184e+06,1.4899395e+08
43.154,1.27077e+06,1.85844e+06,1.69638e+06,2.45912e+06,9.68046e+52,2.48768e+06,1.4641108e+08
43.639,1.27877e+06,1.87632e+06,1.67589e+06,2.4851e+06,1.01213e+53,2.50054e+06,1.4044767e+08
44.229,1.29126e+06,1.89499e+06,1.65042e+06,2.51666e+06,1.06745e+53,2.50513e+06,1.334312e+08
44.471,1.29728e+06,1.90205e+06,1.63978e+06,2.52964e+06,1.09079e+53,2.50888e+06,1.306158e+08
44.714,1.30372e+06,1.90877e+06,1.62904e+06,2.54262e+06,1.11447e+53,2.51694e+06,1.2784074e+08
