x,Interactive workloads,Short-running workloads A,Long-running continuous workload B1,Long-running continuous workload B2,Long-running interruptible workload C1,Long-running interruptible workload C2,Long-running interruptible workload C3
90.892,1.66839e+06,2.52477e+06,-9.4192e+05,3.99049e+06,1.460849066694128527e+54,1.22664e+06,3.54929e+06
91.063,1.66155e+06,2.51284e+06,-9.5213e+05,3.99473e+06,1.470188800287038653e+54,1.21967e+06,3.5502e+06
92.212,1.61249e+06,2.43495e+06,-1.02106e+06,4.02352e+06,1.53419e+54,1.17265e+06,3.55675e+06
92.579,1.59871e+06,2.42423e+06,-1.04308e+06,4.03276e+06,1.55499e+54,1.15763e+06,3.55898e+06
93.056,1.58449e+06,2.41855e+06,-1.07173e+06,4.04482e+06,1.582327533551452489e+54,1.13808e+06,3.56195e+06
93.976,1.55981e+06,2.37756e+06,-1.12704e+06,4.0682e+06,1.635954669902023869e+54,1.10033e+06,3.56792e+06
94.036,1.55771e+06,2.37408e+06,-1.13066e+06,4.06973e+06,1.6395e+54,1.09786e+06,3.56832e+06
94.589,1.53486e+06,2.34067e+06,-1.16393e+06,4.08386e+06,1.672359378329769577e+54,1.07514e+06,3.57205e+06
95.416,1.49622e+06,2.29642e+06,-1.21375e+06,4.10508e+06,1.72231e+54,1.04114e+06,3.57777e+06
95.432,1.49555e+06,2.29558e+06,-1.21472e+06,4.1055e+06,1.7233e+54,1.04047e+06,3.57789e+06
95.723,1.49622e+06,2.28041e+06,-1.23224e+06,4.11299e+06,1.7411e+54,1.02851e+06,3.57994e+06
